iter	Passed	Remaining
471	661	740
472	662	738
473	663	735
474	664	733
475	664	731
476	665	729
477	666	727
478	667	725
479	668	724
480	669	722
481	670	720
482	671	718
483	672	716
484	673	714
485	673	712
486	674	710
487	675	708
488	676	706
489	677	704
490	678	703
491	679	701
492	679	699
493	680	697
494	681	695
495	682	693
496	683	691
497	685	690
498	686	689
499	687	687
500	688	685
501	689	684
502	690	682
503	691	680
504	692	678
505	692	676
506	693	674
507	694	672
508	695	670
509	696	668
510	697	667
511	697	665
512	698	663
513	700	661
514	700	660
515	701	658
516	702	656
517	703	654
518	704	652
519	705	650
520	705	649
521	706	647
522	707	645
523	708	643
524	709	641
525	710	640
526	711	638
527	712	636
528	712	634
529	713	633
530	715	631
531	716	629
532	716	628
533	717	626
534	718	624
535	719	622
536	720	621
537	721	619
538	722	617
539	723	615
540	723	614
541	724	612
542	725	610
543	726	609
544	727	607
545	728	605
546	729	604
547	730	602
548	731	600
549	732	599
550	733	597
551	733	595
552	734	593
553	735	592
554	736	590
555	737	588
556	738	587
557	739	585
558	739	583
559	740	581
560	741	580
561	742	578
562	743	577
563	744	575
564	745	573
565	746	572
566	747	570
567	747	568
568	748	567
569	749	565
570	750	563
571	751	562
572	752	560
573	753	558
574	754	557
575	754	555
576	755	554
577	756	552
578	757	550
579	758	549
580	759	547
581	760	546
582	761	544
583	762	542
584	762	541
585	763	539
586	764	537
587	765	536
588	766	534
589	767	533
590	768	531
591	768	529
592	769	528
593	770	526
594	771	525
595	772	523
596	773	522
597	774	520
598	775	519
599	776	517
600	776	515
601	777	514
602	778	512
603	779	510
604	780	509
605	781	507
606	781	506
607	782	504
608	783	503
609	784	501
610	785	499
611	786	498
612	787	496
613	787	495
614	788	493
615	790	492
616	790	490
617	791	489
618	792	487
619	793	486
620	794	484
621	795	483
622	796	481
623	796	480
624	797	478
625	798	477
626	799	475
627	800	474
628	801	472
629	802	471
630	802	469
631	803	468
632	805	466
633	806	465
634	806	463
635	807	462
636	808	460
637	809	459
638	810	457
639	811	456
640	812	454
641	812	453
642	813	451
643	814	450
644	815	448
645	816	447
646	817	445
647	818	444
648	819	443
649	820	441
650	821	440
651	822	439
652	823	437
653	824	436
654	825	434
655	826	433
656	827	431
657	828	430
658	828	428
659	829	427
660	830	426
661	831	424
662	832	423
663	833	421
664	834	420
665	835	419
666	836	417
667	837	416
668	838	414
669	839	413
670	839	411
671	840	410
672	841	408
673	842	407
674	843	406
675	844	404
676	845	403
677	845	401
678	846	400
679	847	398
680	848	397
681	849	396
682	850	394
683	851	393
684	852	391
685	853	390
686	854	389
687	854	387
688	855	386
689	856	384
690	857	383
691	858	382
692	859	380
693	860	379
694	860	377
695	861	376
696	862	375
697	863	373
698	864	372
699	865	370
700	866	369
701	883	375
702	886	374
703	889	373
704	892	373
705	894	372
706	898	372
707	901	371
708	904	371
709	906	370
710	909	369
711	912	369
712	915	368
713	919	368
714	922	367
715	925	367
716	929	366
717	931	365
718	933	364
719	935	363
720	937	362
721	939	361
722	941	360
723	943	359
724	945	358
725	947	357
726	949	356
727	951	355
728	953	354
729	955	353
730	958	352
731	960	351
732	962	350
733	964	349
734	966	348
735	968	347
736	970	346
737	972	345
738	974	344
739	976	343
740	978	342
741	980	340
742	982	339
743	984	338
744	987	337
745	989	336
746	991	335
747	992	334
748	994	333
749	996	332
750	998	330
751	999	329
752	1001	328
753	1003	327
754	1004	326
755	1006	324
756	1007	323
757	1009	322
758	1011	321
759	1012	319
760	1014	318
761	1015	317
762	1017	315
763	1018	314
764	1019	313
765	1020	311
766	1021	310
767	1022	308
768	1023	307
769	1024	305
770	1025	304
771	1026	303
772	1027	301
773	1028	300
774	1029	298
775	1030	297
776	1031	296
777	1032	294
778	1034	293
779	1035	291
780	1036	290
781	1037	289
782	1038	287
783	1039	286
784	1040	285
785	1041	283
786	1043	282
787	1044	280
788	1045	279
789	1046	278
790	1047	276
791	1048	275
792	1049	274
793	1050	272
794	1051	271
795	1052	269
796	1053	268
797	1054	267
798	1056	265
799	1057	264
800	1058	262
801	1059	261
802	1060	260
803	1061	258
804	1063	257
805	1064	256
806	1065	254
807	1065	253
808	1066	251
809	1067	250
810	1068	249
811	1069	247
812	1070	246
813	1071	244
814	1072	243
815	1072	241
816	1073	240
817	1074	239
818	1075	237
819	1076	236
820	1077	234
821	1078	233
822	1079	232
823	1080	230
824	1081	229
825	1082	228
826	1083	226
